;num_cli;connexion_mois;source_web;typ_client;montant_credit;anciennete;utilisation_credit;logmt;sitfam;dept;tr_age;revfyr;assurance
340;341;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Picardie;46-55 ans;< 1000;?
370;371;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Champagne-Ardenne;46-55 ans;1500 a 1999;?
372;373;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Centre;36-45 ans;< 1000;?
373;374;>11;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Centre;56-65 ans;1500 a 1999;?
406;407;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;46-55 ans;< 1000;?
436;437;5-10;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Rhône-Alpes;46-55 ans;3000 a 3999;?
469;470;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Champagne-Ardenne;36-45 ans;1500 a 1999;?
493;494;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Provence-Alpes-Côte-Azur;46-55 ans;manquant;?
502;503;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;>66;2000 a 2999;?
540;541;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Provence-Alpes-Côte-Azur;36-45 ans;2000 a 2999;?
553;554;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Lorraine;36-45 ans;1000 a 1499;?
555;556;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Centre;46-55 ans;3000 a 3999;?
557;558;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Lorraine;26-35 ans;manquant;?
566;567;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Midi-Pyrenees;56-65 ans;3000 a 3999;?
573;574;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Nord-Pas-de-Calais;46-55 ans;>4000;?
576;577;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;18-25 ans;manquant;?
588;589;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;46-55 ans;3000 a 3999;?
601;602;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Alsace;26-35 ans;2000 a 2999;?
618;619;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Bretagne;56-65 ans;1500 a 1999;?
621;622;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Pays de Loire;36-45 ans;< 1000;?
656;657;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Languedoc-Roussillon;56-65 ans;>4000;?
662;663;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Bourgogne;36-45 ans;1500 a 1999;?
666;667;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Pays de Loire;36-45 ans;1500 a 1999;?
668;669;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;Haute-Normandie;26-35 ans;manquant;?
680;681;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Centre;46-55 ans;2000 a 2999;?
714;715;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;46-55 ans;manquant;?
722;723;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Nord-Pas-de-Calais;56-65 ans;1000 a 1499;?
749;750;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Languedoc-Roussillon;46-55 ans;1000 a 1499;?
753;754;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Bourgogne;36-45 ans;1500 a 1999;?
771;772;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;< 1000;?
775;776;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Languedoc-Roussillon;46-55 ans;3000 a 3999;?
817;818;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Pays de Loire;56-65 ans;3000 a 3999;?
822;823;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;NR;Midi-Pyrenees;46-55 ans;manquant;?
826;827;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Provence-Alpes-Côte-Azur;46-55 ans;1000 a 1499;?
828;829;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Provence-Alpes-Côte-Azur;26-35 ans;manquant;?
851;852;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Champagne-Ardenne;26-35 ans;1000 a 1499;?
858;859;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Provence-Alpes-Côte-Azur;26-35 ans;1000 a 1499;?
880;881;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;46-55 ans;1000 a 1499;?
882;883;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;26-35 ans;1000 a 1499;?
902;903;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Aquitaine;36-45 ans;2000 a 2999;?
956;957;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Bourgogne;46-55 ans;2000 a 2999;?
983;984;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;26-35 ans;1500 a 1999;?
984;985;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Provence-Alpes-Côte-Azur;>66;>4000;?
989;990;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Centre;26-35 ans;1500 a 1999;?
990;991;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;36-45 ans;2000 a 2999;?
998;999;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;ile-de-France;56-65 ans;1000 a 1499;?
1003;1004;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Provence-Alpes-Côte-Azur;26-35 ans;1000 a 1499;?
1035;1036;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Auvergne;26-35 ans;1000 a 1499;?
1064;1065;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Auvergne;46-55 ans;1500 a 1999;?
1094;1095;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Aquitaine;36-45 ans;< 1000;?
1107;1108;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;18-25 ans;< 1000;?
1156;1157;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Midi-Pyrenees;>66;2000 a 2999;?
1160;1161;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Celibataire;Bretagne;46-55 ans;manquant;?
1162;1163;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;manquant;?
1176;1177;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Aquitaine;36-45 ans;1500 a 1999;?
1180;1181;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Bourgogne;36-45 ans;1000 a 1499;?
1204;1205;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Alsace;36-45 ans;1500 a 1999;?
1211;1212;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Rhône-Alpes;>66;1500 a 1999;?
1225;1226;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Languedoc-Roussillon;36-45 ans;manquant;?
1227;1228;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Picardie;46-55 ans;1000 a 1499;?
1237;1238;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;26-35 ans;manquant;?
1250;1251;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Aquitaine;56-65 ans;1500 a 1999;?
1256;1257;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Languedoc-Roussillon;18-25 ans;1000 a 1499;?
1258;1259;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Provence-Alpes-Côte-Azur;56-65 ans;1000 a 1499;?
1259;1260;5-10;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Nord-Pas-de-Calais;26-35 ans;3000 a 3999;?
1266;1267;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;18-25 ans;< 1000;?
1277;1278;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;Centre;>66;manquant;?
1282;1283;5-10;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Languedoc-Roussillon;46-55 ans;1500 a 1999;?
1290;1291;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Alsace;36-45 ans;1000 a 1499;?
1294;1295;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;NR;ile-de-France;36-45 ans;manquant;?
1337;1338;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;>66;2000 a 2999;?
1395;1396;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Pays de Loire;18-25 ans;manquant;?
1397;1398;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Rhône-Alpes;26-35 ans;1000 a 1499;?
1414;1415;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Nord-Pas-de-Calais;26-35 ans;< 1000;?
1442;1443;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;18-25 ans;manquant;?
1454;1455;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Alsace;26-35 ans;2000 a 2999;?
1481;1482;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;DOMTOM;46-55 ans;2000 a 2999;?
1492;1493;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Haute-Normandie;46-55 ans;1500 a 1999;?
1535;1536;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Provence-Alpes-Côte-Azur;46-55 ans;manquant;?
1538;1539;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Aquitaine;26-35 ans;manquant;?
1539;1540;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Auvergne;46-55 ans;1000 a 1499;?
1567;1568;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Champagne-Ardenne;56-65 ans;1500 a 1999;?
1576;1577;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;18-25 ans;1000 a 1499;?
1582;1583;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Haute-Normandie;26-35 ans;manquant;?
1587;1588;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Poitou-Charentes;26-35 ans;manquant;?
1588;1589;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Poitou-Charentes;46-55 ans;1000 a 1499;?
1593;1594;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Lorraine;36-45 ans;1000 a 1499;?
1596;1597;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Rhône-Alpes;36-45 ans;manquant;?
1605;1606;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Lorraine;18-25 ans;1000 a 1499;?
1622;1623;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;3000 a 3999;?
1629;1630;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;36-45 ans;< 1000;?
1645;1646;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Corse;46-55 ans;1500 a 1999;?
1647;1648;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;26-35 ans;1500 a 1999;?
1682;1683;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Rhône-Alpes;36-45 ans;< 1000;?
1698;1699;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;36-45 ans;2000 a 2999;?
1704;1705;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;46-55 ans;2000 a 2999;?
1716;1717;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Poitou-Charentes;26-35 ans;1500 a 1999;?
1722;1723;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;ile-de-France;46-55 ans;2000 a 2999;?
1755;1756;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;46-55 ans;>4000;?
1759;1760;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Celibataire;ile-de-France;46-55 ans;2000 a 2999;?
1772;1773;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Aquitaine;56-65 ans;manquant;?
1787;1788;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;NR;Provence-Alpes-Côte-Azur;18-25 ans;manquant;?
1794;1795;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Nord-Pas-de-Calais;36-45 ans;1500 a 1999;?
1800;1801;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Picardie;26-35 ans;1000 a 1499;?
1805;1806;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;36-45 ans;1000 a 1499;?
1807;1808;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Lorraine;18-25 ans;manquant;?
1814;1815;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1500 a 1999;?
1823;1824;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;1000 a 1499;?
1849;1850;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;36-45 ans;1500 a 1999;?
1850;1851;5-10;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Centre;26-35 ans;1000 a 1499;?
1854;1855;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Lorraine;46-55 ans;1500 a 1999;?
1862;1863;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Centre;56-65 ans;1000 a 1499;?
1888;1889;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Bretagne;18-25 ans;1000 a 1499;?
1892;1893;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;26-35 ans;2000 a 2999;?
1893;1894;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Basse-Normandie;>66;manquant;?
1899;1900;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;2000 a 2999;?
1900;1901;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Limousin;18-25 ans;1000 a 1499;?
1901;1902;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Rhône-Alpes;26-35 ans;1500 a 1999;?
1904;1905;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Basse-Normandie;26-35 ans;< 1000;?
1931;1932;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;2000 a 2999;?
1967;1968;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;26-35 ans;manquant;?
2018;2019;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Provence-Alpes-Côte-Azur;36-45 ans;manquant;?
2048;2049;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;18-25 ans;manquant;?
2056;2057;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Alsace;36-45 ans;2000 a 2999;?
2069;2070;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;26-35 ans;1500 a 1999;?
2088;2089;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;NR;ile-de-France;46-55 ans;manquant;?
2094;2095;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Bretagne;26-35 ans;manquant;?
2119;2120;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Picardie;18-25 ans;1000 a 1499;?
2129;2130;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Centre;26-35 ans;manquant;?
2141;2142;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Bourgogne;56-65 ans;1500 a 1999;?
2155;2156;>11;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Nord-Pas-de-Calais;26-35 ans;>4000;?
2163;2164;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Basse-Normandie;26-35 ans;1000 a 1499;?
2196;2197;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1500 a 1999;?
2220;2221;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Bourgogne;56-65 ans;1000 a 1499;?
2225;2226;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Provence-Alpes-Côte-Azur;46-55 ans;1500 a 1999;?
2243;2244;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Languedoc-Roussillon;46-55 ans;< 1000;?
2249;2250;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Picardie;26-35 ans;1500 a 1999;?
2257;2258;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Basse-Normandie;26-35 ans;1000 a 1499;?
2260;2261;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1000 a 1499;?
2278;2279;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;46-55 ans;1500 a 1999;?
2293;2294;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;26-35 ans;manquant;?
2305;2306;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Centre;26-35 ans;>4000;?
2307;2308;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Midi-Pyrenees;56-65 ans;3000 a 3999;?
2333;2334;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Franche-Comte;18-25 ans;1000 a 1499;?
2340;2341;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;18-25 ans;1000 a 1499;?
2366;2367;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Rhône-Alpes;46-55 ans;1500 a 1999;?
2373;2374;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Haute-Normandie;26-35 ans;3000 a 3999;?
2401;2402;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Haute-Normandie;36-45 ans;1500 a 1999;?
2412;2413;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Basse-Normandie;26-35 ans;1000 a 1499;?
2425;2426;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Basse-Normandie;36-45 ans;< 1000;?
2428;2429;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Nord-Pas-de-Calais;56-65 ans;3000 a 3999;?
2447;2448;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Nord-Pas-de-Calais;26-35 ans;1500 a 1999;?
2456;2457;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;36-45 ans;manquant;?
2474;2475;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Bretagne;26-35 ans;1000 a 1499;?
2504;2505;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Provence-Alpes-Côte-Azur;46-55 ans;>4000;?
2505;2506;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Haute-Normandie;36-45 ans;manquant;?
2521;2522;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Languedoc-Roussillon;56-65 ans;>4000;?
2551;2552;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Haute-Normandie;46-55 ans;manquant;?
2562;2563;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Provence-Alpes-Côte-Azur;36-45 ans;2000 a 2999;?
2581;2582;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;18-25 ans;manquant;?
2588;2589;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Bourgogne;26-35 ans;manquant;?
2598;2599;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Corse;36-45 ans;1500 a 1999;?
2603;2604;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Basse-Normandie;36-45 ans;3000 a 3999;?
2608;2609;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Alsace;36-45 ans;3000 a 3999;?
2609;2610;>11;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Aquitaine;56-65 ans;manquant;?
2612;2613;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Rhône-Alpes;56-65 ans;manquant;?
2616;2617;5-10;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Provence-Alpes-Côte-Azur;26-35 ans;2000 a 2999;?
2654;2655;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Picardie;>66;1000 a 1499;?
2656;2657;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Aquitaine;36-45 ans;3000 a 3999;?
2658;2659;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1000 a 1499;?
2677;2678;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;Corse;36-45 ans;manquant;?
2691;2692;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;36-45 ans;< 1000;?
2705;2706;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;26-35 ans;manquant;?
2706;2707;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Auvergne;36-45 ans;manquant;?
2709;2710;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;DOMTOM;46-55 ans;1000 a 1499;?
2725;2726;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Rhône-Alpes;46-55 ans;< 1000;?
2758;2759;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Languedoc-Roussillon;36-45 ans;< 1000;?
2777;2778;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Lorraine;56-65 ans;3000 a 3999;?
